word,count
roar,220
wretched,220
breed,220
foolish,219
distress,219
kingdom,219
dull,219
due,219
honourable,219
jewel,219
lieutenant,219
slave,219
warwick,219
somewhat,218
fate,218
obey,218
key,218
compliment,218
yea,218
important,217
quarter,217
cease,217
gather,217
gift,217
nephew,217
motion,217
stick,217
tom,217
ease,216
lad,216
supply,216
proof,216
peculiar,215
empty,215
kindness,215
display,215
cruel,215
endure,215
traitor,215
antipholus,215
dromio,215
brown,214
venture,213
complete,213
simply,213
guess,213
reflection,213
sensible,213
furnish,213
exercise,213
anne,213
sovereign,213
renaldo,213
expense,212
examine,212
awake,212
pure,212
ignorant,212
various,212
instantly,212
christian,212
canst,212
clothes,211
win,211
season,211
associate,211
knave,211
folly,211
estate,211
opposite,210
serious,210
practice,210
mina,210
didst,210
afternoon,209
wicked,209
landlord,209
method,209
earl,209
imagination,209
roman,209
charles,209
value,208
crowd,208
counsel,208
nevertheless,208
highness,208
farebrother,208
convey,207
invite,207
prospect,207
property,206
struggle,206
bury,206
niece,206
banish,206
pluck,205
angel,205
self,205
divine,204
hell,204
rain,204
argument,204
train,204
directly,204
inclination,204
curious,203
yesterday,203
golden,203
freely,203
eager,202
rid,202
humble,202
innocent,202
lately,202
widow,202
observation,202
teeth,202
vice,202
apartment,201
admire,201
paint,201
asleep,201
blush,201
extraordinary,200
maintain,200
vessel,200
silver,200
odd,199
suggest,199
meaning,199
birth,199
sentence,199
considerable,199
example,199
absence,198
impression,198
aside,198
principle,198
slowly,197
difficult,197
eight,197
seldom,197
generous,197
notion,197
twice,197
aid,197
minister,197
mordaunt,197
interrupt,196
anxious,196
aspect,196
desert,196
wisdom,195
curiosity,195
arthur,194
seven,194
darkness,194
song,194
leap,194
seal,194
supper,194
notwithstanding,194
smell,193
slip,193
wash,193
personal,193
outside,193
rock,193
prison,193
oft,193
precious,193
whenever,192
permit,192
scrap,192
busy,192
fifty,192
inquire,192
twas,192
spoil,191
pick,191
undertake,191
collins,191
relieve,190
breakfast,190
profession,190
feast,190
cure,190
sacrifice,190
inn,190
square,189
vast,189
flatter,189
bank,189
poison,189
jonathan,189
beebe,188
push,188
immediate,188
game,188
cap,188
parent,188
solemn,188
naturally,187
front,187
particularly,187
assistance,187
manage,187
highly,187
cool,187
fie,187
bartlett,186
guest,186
behave,186
encounter,186
domestic,186
neighbour,185
attack,185
charity,185
guide,185
dislike,185
food,185
unfortunate,185
gratitude,185
hark,185
advise,184
delicate,184
school,184
stream,184
spot,184
equally,184
owner,184
decide,183
kindly,183
abroad,183
image,183
lydia,183
wickham,183
scarcely,182
faint,182
pour,182
twelve,182
dignity,182
charlotte,181
urge,181
descend,181
spread,181
condemn,181
evidently,181
trademark,181
thrust,181
caroline,181
methinks,181
sky,180
edge,180
protest,180
deceive,180
pronounce,180
cheer,180
heartily,180
neglect,179
beneath,179
confirm,179
shore,179
authority,179
brutus,179
task,179
vile,179
sport,178
beside,178
fearful,178
speed,178
defend,178
thin,178
host,178
fatal,178
swallow,178
constant,178
grand,178
wherefore,178
kate,178
starbuck,178
midst,177
plainly,177
partly,177
whither,177
tall,177
distinguish,177
stretch,177
weapon,177
reputation,177
stuff,176
emotion,176
waste,176
storm,176
groan,176
weary,176
withdraw,176
period,176
gently,175
alas,175
section,175
article,175
trumpet,175
foe,175
apt,175
disgrace,175
baby,174
custom,174
tax,174
evidence,174
prefer,173
permission,173
wherein,173
voyage,173
restore,173
middle,172
build,172
necessity,172
triumph,172
priest,172
represent,172
ghost,172
lion,172
discharge,172
inquiry,172
esteem,172
flow,172
adventurer,172
tire,171
capable,171
treasure,171
lack,171
nightingale,171
expectation,171
forbid,170
scheme,170
friendly,170
famous,170
heat,170
bill,170
miller,170
discovery,170
class,169
earnest,169
fat,169
bend,169
delay,169
gay,169
drown,169
recommend,169
abuse,169
strain,168
unknown,168
weather,168
idle,168
resume,168
debt,168
heir,168
conscious,167
drum,167
valiant,167
board,166
rob,166
cat,166
cunning,166
messenger,166
plague,166
superior,166
path,165
disturb,165
wing,165
dispose,165
brief,165
bent,165
beast,165
commend,165
ferdinand,165
caleb,165
pace,164
mass,164
choice,164
hitherto,164
quietly,164
coat,164
dwell,164
refund,164
virtuous,164
approve,163
confusion,163
bare,162
fully,162
harry,162
cook,162
wealth,162
trial,162
couple,162
sailor,162
native,162
tower,161
arrange,161
forehead,161
ball,161
broken,161
loose,161
profit,161
ocean,161
mate,161
understanding,161
pequod,161
date,160
sacred,160
horrible,160
amuse,160
flame,160
hunt,160
pistol,160
sympathy,159
stroke,159
today,159
contempt,159
flee,159
cranford,159
floor,158
accordingly,158
aim,158
envy,158
trick,158
amiable,158
thither,158
benefit,158
crew,158
damn,158
female,157
original,157
position,157
strongly,157
bell,157
recollect,157
reward,157
thunder,157
faithful,157
wouldst,157
forest,156
usually,156
social,156
rare,156
kneel,156
expose,156
fury,156
coward,156
communicate,156
landlady,156
despise,155
purchase,155
compare,155
savage,155
chain,155
crime,155
troop,155
harker,155
frame,154
delightful,154
thirty,154
spare,154
forty,154
lodge,154
aye,154
apprehension,154
freedom,154
bottle,153
dart,153
anxiety,153
hail,153
rejoice,153
instrument,153
rough,153
animal,153
beard,153
planchet,153
daily,152
divide,152
unable,152
assurance,152
jump,152
threaten,152
royalty,152
extreme,152
physician,152
narrow,151
ignorance,151
meanwhile,151
civil,151
religious,151
beginning,151
execute,151
formerly,151
repair,151
proposal,151
lawyer,151
comfortable,150
coach,150
lesson,150
stage,150
rate,150
ordinary,149
grey,149
decline,149
kitchen,149
repose,149
desperate,149
william,149
jest,149
mousqueton,149
safety,148
fairly,148
thence,148
rude,148
nine,148
throat,148
derive,148
port,148
italy,147
movement,147
modern,147
lot,147
volunteer,147
admiration,147
thief,147
compassion,147
exceed,146
aware,146
disagreeable,146
torment,146
trifle,146
weight,146
anybody,146
woo,146
feature,145
beloved,145
reality,145
tenderness,145
feed,145
snow,145
quoth,145
broad,145
attendant,145
pursuit,145
fitzpatrick,145
clinker,145
beggar,144
knife,144
flood,144
willing,144
whip,144
devote,144
remembrance,144
following,144
kinsman,144
rascal,144
signior,144
hector,144
locate,143
italian,143
clergyman,143
murmur,143
extremely,143
encourage,143
frighten,143
conclusion,143
hit,143
absolutely,143
swift,143
circle,143
parson,143
chiefly,143
damage,143
vanity,143
german,143
ceremony,143
pen,143
purse,143
raffle,143
assume,142
incline,142
tempt,142
frown,142
thick,142
belief,142
active,142
grieve,142
vengeance,142
reserve,142
meantime,142
shade,141
error,141
retreat,141
surround,141
procure,141
arrest,141
fourth,140
shout,140
obligation,140
malice,140
cheerful,140
later,140
result,140
slow,140
boot,140
borrow,140
ebooks,140
skill,140
chase,140
appetite,140
lodging,140
island,140
tonight,140
sirrah,140
honeychurch,139
remind,139
education,139
excite,139
queer,139
morrow,139
firm,139
transport,139
bastard,139
importance,138
carefully,138
dust,138
relief,138
somehow,138
tent,138
featherstone,138
hasten,137
pas,137
smoke,137
warn,137
recognize,137
pack,137
cup,137
mar,137
deeply,137
village,137
list,137
fain,137
silly,136
departure,136
steel,136
shallow,136
defect,136
special,136
proportion,136
leisure,136
tread,136
medium,136
abel,136
thomas,136
writ,136
extend,135
catherine,135
entertainment,135
trace,135
entrance,135
occupy,135
separate,135
bite,135
summon,135
store,135
duchess,135
tail,135
mutual,135
emperor,135
lowick,135
complain,134
cried,134
improve,134
stock,134
finally,134
remarkable,134
glorious,134
left,134
swell,134
leaf,134
race,134
bread,134
moreover,134
twere,134
message,133
amongst,133
vision,133
eternal,133
exist,133
yonder,133
shed,133
fever,133
stain,133
regret,133
accuse,133
lively,133
record,133
merchant,133
north,132
sex,132
incident,132
previous,132
genius,132
space,132
violence,132
horn,132
earnestly,132
retain,132
jenkyns,132
jack,132
seward,132
prejudice,132
bellaston,132
trade,131
medical,131
library,131
entire,131
slay,131
confine,131
jamieson,131
hannah,131
objection,130
yellow,130
somebody,130
distant,130
indulge,130
link,129
sweep,129
reproach,129
candle,129
aloud,129
silk,129
confound,129
talent,129
ambition,129
lotty,129
melt,128
weigh,128
wholly,128
contract,128
distribution,128
gallant,128
thwackum,128
thinking,127
shoot,127
shift,127
burden,127
familiar,127
addition,127
converse,127
insult,127
capital,127
useful,127
swim,127
heel,127
compose,127
cromwell,127
melvil,127
emerson,126
poet,126
clearly,126
limb,126
dozen,126
branch,126
member,126
print,126
level,126
root,126
assist,126
rag,126
blessing,126
martha,126
jove,126
citizen,126
timon,126
appoint,125
sensation,125
bar,125
fold,125
interval,125
american,125
astonishment,125
plant,125
alter,125
inward,125
wench,125
colonel,125
ramee,125
appeal,124
nod,124
consult,124
doubtless,124
height,124
rouse,124
lake,124
joke,124
mild,124
madness,124
fright,124
fame,124
fiend,124
rue,124
adieu,124
beaufort,124
camp,124
juliet,124
harpooneer,124
recall,123
style,123
favourite,123
disdain,123
awful,123
solicit,123
hrothgar,123
motive,123
pitch,123
benjamin,123
coadjutor,123
acquire,122
grateful,122
shop,122
exchange,122
mend,122
variety,122
wolf,122
gown,122
fruit,122
comte,122
anyone,121
parish,121
drag,121
plenty,121
wander,121
dim,121
neighbourhood,121
mystery,121
indifferent,121
abandon,121
impose,121
breach,121
eagerly,121
aught,121
hereafter,121
east,121
consciousness,121
margaret,121
disease,121
audience,120
collect,120
jaw,120
astonish,120
strict,120
stern,120
injury,120
frequently,120
eminence,120
hadst,120
cassio,120
gardiner,120
briggs,120
clever,119
disappear,119
invitation,119
frequent,119
amount,119
tune,119
building,119
tomb,119
govern,119
dish,119
uncommon,119
shine,119
complexion,119
behalf,119
disguise,119
foreign,119
happily,119
rogue,119
announce,118
acknowledge,118
civility,118
enable,118
league,118
material,118
rescue,118
married,118
honesty,118
stair,118
warrior,118
intelligence,118
restrain,118
treason,118
strive,117
severe,117
writer,117
current,117
skin,117
toss,117
price,117
practise,117
painful,117
salt,117
mankind,117
bond,117
midnight,117
progress,117
wipe,117
gainst,117
meat,116
disgust,116
toil,116
lament,116
engagement,116
disappointment,116
spur,116
torture,116
parliament,116
valour,116
laurence,116
clarence,116
tybalt,116
mood,115
mission,115
reign,115
intent,115
temple,115
flight,115
plead,115
yard,115
execution,115
naked,115
county,115
completely,115
jew,115
careful,114
cloak,114
worry,114
murderer,114
willingly,114
grass,114
greet,114
glove,114
explanation,114
uneasy,114
hinder,114
mischief,114
edition,114
limited,114
fairy,114
lov,114
bramble,114
freddy,113
row,113
nonsense,113
jealousy,113
profound,113
oppose,113
ugly,113
punish,113
justify,113
gross,113
huge,113
sober,113
preparation,113
profess,113
liege,113
betwixt,113
possibility,112
group,112
conquer,112
additional,112
greek,112
regular,112
connect,112
snatch,112
main,112
agony,112
brook,112
din,112
deadly,112
comminges,112
wet,111
monstrous,111
jealous,111
reasonable,111
apart,111
prey,111
park,111
guilt,111
doom,111
flourish,111
hole,111
apprehend,111
monimia,111
presume,110
float,110
signify,110
softly,110
elder,110
indicate,110
compliance,110
bag,110
wondrous,110
hamlet,110
capulet,110
generosity,109
reduce,109
gradually,109
repent,109
victory,109
philosophy,109
fifteen,109
weakness,109
boast,109
ornament,109
smooth,109
outward,109
wert,109
infinite,109
evident,109
gratify,109
ford,109
buckingham,109
anywhere,108
existence,108
curtain,108
conjecture,108
hollow,108
peer,108
lamp,108
west,108
sustain,108
commission,108
probability,108
dismiss,108
lucius,108
farther,107
splendid,107
hatred,107
maiden,107
inspire,107
crack,107
indian,107
heavenly,107
attach,107
reconcile,107
nobleman,107
surgeon,107
observer,107
princess,107
symptom,107
cadwallader,107
thoroughly,106
inside,106
interested,106
blast,106
submit,106
greatness,106
token,106
molly,106
talbot,106
impulse,105
fierce,105
suffolk,105
oil,105
reference,105
nearer,105
furniture,105
accomplish,105
vulgar,105
continually,105
gentlewoman,105
specie,105
payment,105
heap,105
mingle,105
withal,105
resentment,105
troth,105
titus,105
utterson,105
gascon,105
lavish,104
cottage,104
olive,104
flash,104
fun,104
remedy,104
throne,104
spectacle,104
grendel,104
scotland,104
scruple,104
flask,104
tend,104
leviathan,104
musketeer,104
claudio,104
delicacy,103
political,103
wrap,103
replied,103
hotel,103
argue,103
properly,103
poverty,103
consist,103
absolute,103
risk,103
convert,103
card,103
bark,103
verse,103
connection,103
lance,103
coffin,103
harpoon,103
attract,102
indignation,102
somewhere,102
hearty,102
hastily,102
innocence,102
dash,102
pipe,102
warranty,102
provoke,102
anon,102
utterly,102
crave,102
vein,102
science,102
dick,102
principal,101
visible,101
bishop,101
rebel,101
tide,101
sunday,101
haunt,101
understood,101
bleed,101
shoe,101
mutter,101
band,101
manifest,101
reveal,100
vicar,100
iii,100
censure,100
folk,100
resemble,100
philosopher,100
shortly,100
contrast,100
spy,100
format,100
replacement,100
hearing,100
instruction,100
peril,100
rope,100
wanton,100
sometime,100
spiritual,99
apparently,99
stamp,99
upper,99
everywhere,99
strangely,99
plot,99
description,99
detail,99
foresee,99
resist,99
occasionally,99
sufficiently,99
sens,99
goodly,99
contrive,99
unusual,99
corrupt,99
chide,99
mirth,99
probable,99
regiment,99
sole,99
nail,99
obedience,99
dine,99
alack,99
release,98
energy,98
fasten,98
rub,98
refer,98
overcome,98
deprive,98
slander,98
physical,98
perfection,98
universal,98
wheel,98
answered,98
jonah,98
flat,97
interesting,97
punishment,97
exact,97
calculate,97
swing,97
government,97
grasp,97
shepherd,97
pine,97
cherish,97
shot,97
privilege,97
eagerness,97
precede,97
attachment,97
proclaim,97
troilus,97
speaking,96
hungry,96
range,96
creep,96
dispute,96
accent,96
safely,96
durst,96
exceedingly,96
fatigue,96
constitution,96
substance,96
conceit,96
handle,95
clean,95
vanish,95
handkerchief,95
peep,95
plate,95
shrink,95
meal,95
surprised,95
devotion,95
modesty,95
ice,95
prick,95
conviction,95
wast,95
color,95
falstaff,95
spoke,94
file,94
injure,94
interview,94
ridiculous,94
salute,94
coast,94
collection,94
operation,94
pierce,94
performance,94
await,94
prize,94
stoop,94
warlike,94
lofty,94
wrath,94
unworthy,94
south,93
plunge,93
sheet,93
element,93
quantity,93
renew,93
earthly,93
agent,93
shin,93
absent,93
antonio,93
sadly,93
inch,93
elegant,93
impatient,93
glow,93
hazard,93
forthwith,93
hospital,93
stickles,93
pinch,92
ensue,92
intellectual,92
sway,92
courtesy,92
intimate,92
clerk,92
arrangement,92
pile,92
defence,92
final,92
assemble,92
reckon,92
pip,92
affectionate,92
dumb,92
induce,92
powerful,92
dishonour,92
hyde,92
tyrant,92
declaration,92
stomach,92
princely,92
whereof,92
pompey,92
scream,91
agitation,91
unlike,91
disappoint,91
warmth,91
